,homeTeamWinner,Min/Match_home,Min/Match_away,Clr/Match_home,Clr/Match_away,Blocks/Match_home,Blocks/Match_away,Int/Match_home,Int/Match_away,Age_home,Age_away,TklW%_home,TklW%_away,Rating_home,Rating_away,PrgP_home,PrgP_away,DEF_home,DEF_away,PrgR_home,PrgR_away,KP/Match_home,KP/Match_away,npxG_home,npxG_away,SoT%_home,SoT%_away,PrgC_home,PrgC_away,Sh/90_home,Sh/90_away,Min/Match_diff,Clr/Match_diff,Blocks/Match_diff,Int/Match_diff,Age_diff,TklW%_diff,Rating_diff,PrgP_diff,DEF_diff,PrgR_diff,KP/Match_diff,npxG_diff,SoT%_diff,PrgC_diff,Sh/90_diff
106,0,1177.7,1134.57,23.01,22.44,7.29,8.35,5.91,6.24,26.157894736842106,25.833333333333332,49.45222222222222,56.84444444444445,20.98179917334,18.823715662485,617.0,485.0,14.846471535000001,16.2887719895,533.0,284.0,5.29,5.32,24.1,13.3,35.63333333333333,27.98,272.0,288.0,10.28,11.01,43.13000000000011,0.5700000000000003,-1.0599999999999996,-0.33000000000000007,0.32456140350877405,-7.39222222222223,2.1580835108550005,132.0,-1.442300454499998,249.0,-0.03000000000000025,10.8,7.653333333333332,-16.0,-0.7300000000000004
107,1,1025.26,1195.47,15.3,21.36,4.8,7.62,6.24,5.5600000000000005,26.647058823529413,26.2,57.83571428571429,66.06166666666667,19.444924215809525,15.32156531054091,624.0,546.0,12.161982311238095,12.71395121090909,581.0,468.0,8.06,6.72,21.4,11.3,39.7,26.157142857142855,289.0,255.0,11.8,16.09,-170.21000000000004,-6.059999999999999,-2.8200000000000003,0.6799999999999997,0.44705882352941373,-8.225952380952378,4.123358905268615,78.0,-0.5519688996709959,113.0,1.3400000000000007,10.099999999999998,13.542857142857148,34.0,-4.289999999999999
108,0,1121.98,1185.07,21.990000000000002,17.28,6.03,4.91,4.71,3.94,26.157894736842106,26.05,59.98666666666667,56.205000000000005,20.147486929666666,19.10889777168,705.0,711.0,11.624993799523809,10.7512641565,641.0,1085.0,9.3,5.36,24.7,42.8,44.05714285714286,30.225,458.0,306.0,13.98,19.39,-63.08999999999992,4.710000000000001,1.12,0.77,0.10789473684210549,3.7816666666666663,1.0385891579866673,-6.0,0.8737296430238093,-444.0,3.9400000000000004,-18.099999999999998,13.832142857142856,152.0,-5.41
109,0,1146.19,1182.56,20.599999999999998,20.17,6.3500000000000005,5.28,6.29,3.55,25.842105263157894,26.705882352941178,64.61,58.21714285714285,22.921569246249998,21.53431733625,625.0,738.0,16.693695599,11.9414764305,1137.0,675.0,4.32,6.3999999999999995,43.1,26.5,40.1,27.78,209.0,364.0,11.24,8.95,-36.36999999999989,0.42999999999999616,1.0700000000000003,2.74,-0.8637770897832837,6.392857142857146,1.3872519099999963,-113.0,4.752219168500002,462.0,-2.079999999999999,16.6,12.32,-155.0,2.290000000000001
110,0,1084.73,1042.94,26.88,11.530000000000001,7.71,4.18,6.03,4.76,26.352941176470587,26.055555555555557,68.26714285714286,63.04,19.773268244,18.43052973642857,395.0,689.0,16.278929179,10.935663021714285,461.0,581.0,3.81,8.62,17.3,21.4,30.983333333333334,39.7,224.0,311.0,9.43,11.799999999999999,41.789999999999964,15.349999999999998,3.5300000000000002,1.2700000000000005,0.29738562091502985,5.227142857142859,1.342738507571429,-294.0,5.343266157285713,-120.0,-4.809999999999999,-4.099999999999998,-8.716666666666669,-87.0,-2.369999999999999
111,0,1158.59,1019.41,31.6,17.13,6.93,4.9799999999999995,6.45,4.79,27.210526315789473,25.375,64.88,53.40714285714286,23.248917189,17.88077399699,615.0,557.0,16.123029915,11.672321162,781.0,471.0,6.4,4.64,31.0,21.2,43.0,33.339999999999996,366.0,257.0,18.75,8.4,139.17999999999995,14.470000000000002,1.9500000000000002,1.6600000000000001,1.8355263157894726,11.472857142857137,5.368143192009999,58.0,4.450708753000001,310.0,1.7600000000000007,9.8,9.660000000000004,109.0,10.35
112,0,1070.15,1154.97,28.95,21.560000000000002,5.96,6.83,5.72,3.99,26.5625,25.58823529411765,61.458571428571425,62.56166666666667,20.067953204040002,17.280132688485,186.0,596.0,15.1816107275,11.5163733935,518.0,971.0,3.3600000000000003,3.84,24.2,40.2,38.38,34.61666666666667,87.0,128.0,9.870000000000001,9.93,-84.81999999999994,7.389999999999997,-0.8700000000000001,1.7299999999999995,0.9742647058823515,-1.1030952380952428,2.7878205155550013,-410.0,3.6652373340000004,-453.0,-0.47999999999999954,-16.000000000000004,3.7633333333333354,-41.0,-0.05999999999999872
113,1,1228.61,1150.84,20.75,17.85,7.52,5.95,6.17,5.85,26.9,23.444444444444443,71.92833333333333,72.23714285714286,15.88445601904762,20.9539640568,496.0,688.0,14.064243355238096,13.891856634499998,589.0,888.0,5.49,6.010000000000001,18.7,44.9,30.0625,40.1125,224.0,253.0,14.52,19.51,77.76999999999998,2.8999999999999986,1.5699999999999994,0.3200000000000003,3.4555555555555557,-0.3088095238095292,-5.06950803775238,-192.0,0.17238672073809802,-299.0,-0.5200000000000005,-26.2,-10.049999999999997,-29.0,-4.990000000000002
114,0,1312.95,1000.06,14.99,24.990000000000002,5.59,6.53,4.05,5.21,26.05,26.666666666666668,52.59285714285714,59.98857142857143,25.37662861865,19.241977713,1034.0,398.0,11.0367981715,13.318966844761906,1226.0,641.0,10.73,6.8,41.6,24.7,31.55,44.05714285714286,579.0,337.0,20.2,13.98,312.8900000000001,-10.000000000000002,-0.9400000000000004,-1.1600000000000001,-0.6166666666666671,-7.395714285714291,6.134650905649998,636.0,-2.282168673261907,585.0,3.9300000000000006,16.900000000000002,-12.507142857142856,242.0,6.219999999999999
115,0,1017.39,1021.54,19.41,35.52,5.5,11.08,3.69,8.700000000000001,27.666666666666668,25.470588235294116,58.817142857142855,55.83818181818182,20.392646480499998,21.42972541054381,546.0,231.0,12.111046267,20.60245018347619,561.0,122.0,5.33,2.41,24.9,11.9,29.45,42.6,270.0,48.0,7.9,2.31,-4.149999999999977,-16.110000000000003,-5.58,-5.010000000000002,2.196078431372552,2.9789610389610317,-1.037078930043812,315.0,-8.49140391647619,439.0,2.92,12.999999999999998,-13.150000000000002,222.0,5.59
116,0,1216.53,1123.61,24.450000000000003,10.61,6.96,3.5300000000000002,7.7,3.52,24.94736842105263,23.526315789473685,62.56,64.1625,22.70016463865,18.924067781531818,529.0,613.0,16.3563551035,7.49798513409091,806.0,863.0,6.6,9.030000000000001,40.8,35.1,36.699999999999996,35.38,223.0,473.0,19.29,28.16,92.92000000000007,13.840000000000003,3.4299999999999997,4.18,1.4210526315789451,-1.602499999999992,3.7760968571181834,-84.0,8.85836996940909,-57.0,-2.4300000000000015,5.699999999999996,1.3199999999999932,-250.0,-8.870000000000001
117,0,943.0600000000001,1009.72,11.33,13.5,4.59,6.49,2.25,4.2,27.357142857142858,24.5625,51.325714285714284,64.792,16.5900336018,16.499434335449997,653.0,570.0,9.088018700800001,10.8677495615,720.0,585.0,7.7,5.06,34.1,25.7,35.3,37.85,383.0,295.0,12.11,7.8100000000000005,-66.65999999999997,-2.17,-1.9000000000000004,-1.9500000000000002,2.7946428571428577,-13.466285714285718,0.09059926635000082,83.0,-1.779730860699999,135.0,2.6400000000000006,8.400000000000002,-2.5500000000000043,88.0,4.299999999999999
118,0,1208.04,1048.6299999999999,17.23,17.82,6.8999999999999995,5.28,4.49,4.74,26.263157894736842,25.5,61.51875,64.0175,16.890697859585,19.658946346,578.0,669.0,13.9647320135,13.165893159500001,386.0,1137.0,6.26,4.880000000000001,14.8,43.099999999999994,44.583333333333336,40.1,380.0,219.0,9.95,11.24,159.41000000000008,-0.5899999999999999,1.6199999999999992,-0.25,0.7631578947368425,-2.498750000000001,-2.7682484864150005,-91.0,0.7988388539999995,-751.0,1.379999999999999,-28.299999999999994,4.483333333333334,161.0,-1.290000000000001
119,0,1145.63,918.29,13.92,21.5,4.38,6.2700000000000005,3.69,6.53,26.8,27.0625,55.15833333333333,63.41142857142857,18.284348477629997,20.666523626554998,694.0,363.0,10.0128557015,15.1345138325,1102.0,553.0,5.29,4.88,43.2,19.9,28.72222222222222,24.0,304.0,195.0,20.85,16.57,227.34000000000015,-7.58,-1.8900000000000006,-2.8400000000000003,-0.2624999999999993,-8.253095238095241,-2.3821751489250005,331.0,-5.121658131,549.0,0.41000000000000014,23.300000000000004,4.722222222222221,109.0,4.280000000000001
120,0,1131.23,1044.6,22.990000000000002,21.81,5.859999999999999,6.3100000000000005,4.71,4.76,25.894736842105264,26.41176470588235,67.20833333333333,68.53333333333335,21.34759655442857,17.3266447751,705.0,409.0,12.825103424285714,13.3682028565,641.0,494.0,9.3,4.2,24.7,19.0,44.05714285714286,35.34285714285714,458.0,244.0,13.98,11.1,86.63000000000011,1.1800000000000033,-0.45000000000000107,-0.04999999999999982,-0.5170278637770878,-1.325000000000017,4.02095177932857,296.0,-0.5430994322142855,147.0,5.1000000000000005,5.699999999999999,8.714285714285715,214.0,2.880000000000001
121,1,873.83,1196.32,15.620000000000001,14.28,5.01,4.76,4.88,3.28,26.6,25.736842105263158,62.334,54.29,16.757593051405,23.31138026715,448.0,780.0,10.967148074499999,9.875842535,553.0,1161.0,5.3100000000000005,9.55,19.9,36.1,24.0,33.525,219.0,532.0,16.57,18.73,-322.4899999999999,1.3400000000000016,0.25,1.6,0.8631578947368439,8.044000000000004,-6.553787215745,-332.0,1.0913055394999986,-608.0,-4.24,-16.200000000000003,-9.524999999999999,-313.0,-2.16
122,1,1034.01,990.26,15.5,18.12,8.24,5.6499999999999995,5.2,5.28,24.0,27.0,66.49333333333333,58.72833333333333,17.12777652418182,18.44067302047619,658.0,635.0,12.185319278181817,11.691791332857143,498.0,781.0,5.48,5.25,15.600000000000001,31.0,36.9,43.0,328.0,366.0,5.4,18.75,43.75,-2.620000000000001,2.5900000000000007,-0.08000000000000007,-3.0,7.7649999999999935,-1.3128964962943712,23.0,0.4935279453246739,-283.0,0.23000000000000043,-15.399999999999999,-6.100000000000001,-38.0,-13.35
123,0,1154.97,1237.78,21.560000000000002,24.86,6.83,8.69,3.99,7.0600000000000005,25.58823529411765,26.9,62.56166666666667,68.14571428571428,17.280132688485,18.555859081333335,596.0,449.0,11.5163733935,16.043823423333333,971.0,592.0,3.84,5.49,40.2,21.6,34.61666666666667,27.5,128.0,244.0,9.93,15.28,-82.80999999999995,-3.299999999999997,-1.8599999999999994,-3.0700000000000003,-1.31176470588235,-5.58404761904761,-1.275726392848334,147.0,-4.527450029833332,379.0,-1.6500000000000004,18.6,7.116666666666667,-116.0,-5.35
124,0,1176.7,1126.24,23.009999999999998,22.51,7.29,6.13,5.91,6.5600000000000005,26.5,24.789473684210527,55.63375,64.09,20.98179917334,21.803492897198,617.0,508.0,14.846471535000001,14.353826893,533.0,526.0,5.29,6.68,24.1,30.8,35.63333333333333,37.64,272.0,226.0,10.28,15.78,50.460000000000036,0.49999999999999645,1.1600000000000001,-0.6500000000000004,1.7105263157894726,-8.456250000000004,-0.8216937238580009,109.0,0.49264464200000013,7.0,-1.3899999999999997,-6.699999999999999,-2.0066666666666677,46.0,-5.5
125,0,1253.55,1170.12,19.38,22.76,6.86,6.09,6.6,4.4,23.263157894736842,27.352941176470587,71.2625,58.082499999999996,22.49266097755,22.3680002764,674.0,631.0,15.604896508,13.8402559445,1130.0,561.0,5.78,5.75,48.2,24.9,43.7125,29.45,248.0,289.0,21.509999999999998,7.9,83.43000000000006,-3.3800000000000026,0.7700000000000005,2.1999999999999993,-4.0897832817337445,13.180000000000007,0.12466070114999894,43.0,1.7646405634999986,569.0,0.03000000000000025,23.300000000000004,14.2625,-41.0,13.609999999999998
126,0,1130.32,1225.13,35.52,18.74,11.08,5.35,8.7,3.92,25.88888888888889,27.0,55.83818181818182,65.415,24.24140693002857,20.36283633863,347.0,694.0,20.60245018347619,12.0913435625,354.0,1102.0,4.07,5.29,26.6,43.2,35.6,28.72222222222222,156.0,304.0,9.530000000000001,20.85,-94.81000000000017,16.780000000000005,5.73,4.779999999999999,-1.1111111111111107,-9.576818181818183,3.878570591398571,-347.0,8.51110662097619,-748.0,-1.2199999999999998,-16.6,6.87777777777778,-148.0,-11.32
127,1,998.04,929.35,13.57,11.23,4.66,4.49,4.92,2.63,25.764705882352942,27.846153846153847,63.59285714285714,65.11,17.965000544,17.2503918205,669.0,632.0,11.4719473575,9.6783078495,1137.0,720.0,4.88,7.52,43.1,34.1,40.1,35.3,219.0,373.0,11.24,12.11,68.68999999999994,2.34,0.16999999999999993,2.29,-2.0814479638009047,-1.5171428571428578,0.7146087234999996,37.0,1.793639508,417.0,-2.6399999999999997,9.0,4.800000000000004,-154.0,-0.8699999999999992
128,1,1104.47,995.22,15.13,24.310000000000002,5.41,4.96,7.13,4.58,25.444444444444443,26.266666666666666,59.535,59.20166666666666,20.46153398880952,17.46438969654,634.0,186.0,13.559364741714287,12.578047219999998,581.0,518.0,7.27,3.3600000000000003,21.4,24.2,39.7,38.38,298.0,87.0,11.799999999999999,9.870000000000001,109.25,-9.180000000000001,0.4500000000000002,2.55,-0.8222222222222229,0.3333333333333357,2.997144292269521,448.0,0.9813175217142884,63.0,3.9099999999999993,-2.8000000000000007,1.3200000000000003,211.0,1.929999999999998
129,1,1129.92,1102.6,12.16,17.23,4.6000000000000005,7.8999999999999995,3.61,4.49,23.68421052631579,25.11111111111111,62.548,49.214999999999996,20.258837168804543,16.432134508835,517.0,505.0,8.622309369545455,14.108962782750002,1007.0,349.0,8.22,5.43,38.0,11.2,35.54,37.233333333333334,498.0,345.0,28.38,10.25,27.320000000000164,-5.07,-3.299999999999999,-0.8800000000000003,-1.4269005847953196,13.333000000000006,3.826702659969545,12.0,-5.486653413204547,658.0,2.790000000000001,26.8,-1.6933333333333351,153.0,18.13
130,0,1170.12,1045.14,22.76,21.560000000000002,6.09,6.83,4.4,3.99,27.352941176470587,24.470588235294116,58.0825,53.62428571428571,22.3680002764,16.153359485785,631.0,381.0,13.8402559445,11.5163733935,561.0,971.0,5.75,2.6399999999999997,24.9,40.199999999999996,29.45,34.61666666666667,289.0,108.0,7.9,9.93,124.97999999999979,1.1999999999999993,-0.7400000000000002,0.41000000000000014,2.882352941176471,4.458214285714291,6.214640790615,250.0,2.3238825510000005,-410.0,3.1100000000000003,-15.299999999999997,-5.166666666666668,181.0,-2.0299999999999994
131,1,1239.24,1002.63,13.29,13.33,3.96,3.69,4.24,6.1,25.85,25.529411764705884,54.88714285714286,54.17285714285714,24.45836324515,18.188384357714284,1034.0,624.0,10.118532798,10.905442453142857,1255.0,581.0,10.73,8.06,42.0,21.4,33.599999999999994,39.7,579.0,289.0,20.89,11.8,236.61,-0.040000000000000924,0.27,-1.8599999999999994,0.3205882352941174,0.7142857142857224,6.269978887435716,410.0,-0.7869096551428569,674.0,2.67,20.6,-6.1000000000000085,290.0,9.09
132,1,1252.3600000000001,862.79,24.36,15.64,7.6899999999999995,3.91,5.8100000000000005,4.4,26.7,26.5625,62.836666666666666,53.658,16.894070639904765,16.542072094105002,446.0,527.0,13.529504350476191,9.731629833549999,663.0,756.0,4.99,6.28,22.599999999999998,28.9,30.422222222222224,29.311111111111114,240.0,317.0,16.65,20.59,389.57000000000016,8.719999999999999,3.7799999999999994,1.4100000000000001,0.1374999999999993,9.178666666666665,0.35199854579976275,-81.0,3.7978745169261927,-93.0,-1.29,-6.300000000000001,1.1111111111111107,-77.0,-3.9400000000000013
133,1,1075.17,1130.32,20.419999999999998,35.52,6.85,11.08,4.34,8.7,25.823529411764707,25.88888888888889,64.95166666666667,55.83818181818182,16.81001682673,24.24140693002857,454.0,347.0,12.818622790500001,20.60245018347619,527.0,354.0,4.46,4.07,20.1,26.6,36.2875,35.6,248.0,156.0,11.57,9.530000000000001,-55.149999999999864,-15.100000000000005,-4.23,-4.359999999999999,-0.06535947712418277,9.113484848484845,-7.431390103298572,107.0,-7.783827392976189,173.0,0.3899999999999997,-6.5,0.6875,92.0,2.039999999999999
134,0,1075.35,1081.79,21.37,12.16,6.15,4.6,5.529999999999999,3.61,26.68421052631579,23.263157894736842,55.1,62.548,20.349864594165712,21.43448610992857,686.0,623.0,12.889442229523809,9.03289553,784.0,908.0,6.54,9.27,31.0,27.7,50.125,34.0625,378.0,531.0,24.38,17.88,-6.440000000000055,9.21,1.5500000000000007,1.9199999999999995,3.4210526315789487,-7.448,-1.0846215157628585,63.0,3.8565466995238094,-124.0,-2.7299999999999995,3.3000000000000007,16.0625,-153.0,6.5
135,0,1224.47,1058.72,21.04,15.5,6.02,8.24,6.88,5.2,25.05263157894737,24.58823529411765,63.80428571428571,66.49333333333333,21.45630895715,18.2447026466,666.0,570.0,14.285345068999998,13.403851205999999,806.0,585.0,8.01,5.06,40.8,25.7,36.699999999999996,37.85,257.0,295.0,19.29,7.8100000000000005,165.75,5.539999999999999,-2.2200000000000006,1.6799999999999997,0.4643962848297214,-2.6890476190476136,3.2116063105499997,96.0,0.8814938629999993,221.0,2.95,15.099999999999998,-1.1500000000000057,-38.0,11.479999999999999
136,1,1028.6200000000001,1169.76,24.31,21.62,4.96,6.35,4.58,5.9,26.0,25.77777777777778,59.20166666666666,48.37625,17.46438969654,19.313889335389998,186.0,557.0,12.578047219999998,13.28835316705,544.0,471.0,3.36,4.64,24.299999999999997,21.2,31.983333333333334,33.339999999999996,87.0,257.0,10.95,8.4,-141.13999999999987,2.6899999999999977,-1.3899999999999997,-1.3200000000000003,0.22222222222222143,10.825416666666662,-1.8494996388499985,-371.0,-0.710305947050001,73.0,-1.2799999999999998,3.099999999999998,-1.356666666666662,-170.0,2.549999999999999
137,1,865.89,1096.98,11.23,19.990000000000002,4.49,5.359999999999999,2.63,4.21,28.166666666666668,25.77777777777778,65.11,68.65,15.673280471999998,19.653623509190474,529.0,705.0,9.6783078495,11.131130379047619,592.0,641.0,5.98,9.3,28.9,24.7,36.725,44.05714285714286,323.0,458.0,9.379999999999999,13.98,-231.09000000000003,-8.760000000000002,-0.8699999999999992,-1.58,2.3888888888888893,-3.5400000000000063,-3.980343037190476,-176.0,-1.4528225295476194,-49.0,-3.3200000000000003,4.199999999999999,-7.3321428571428555,-135.0,-4.600000000000001
138,1,1183.27,998.04,17.28,13.57,4.91,4.66,3.94,4.92,26.75,25.764705882352942,56.205000000000005,63.59285714285714,19.02275693263,17.965000544,694.0,669.0,10.7512641565,11.4719473575,1102.0,1137.0,5.29,4.88,43.199999999999996,43.099999999999994,28.72222222222222,40.1,304.0,219.0,20.85,11.24,185.23000000000002,3.710000000000001,0.25,-0.98,0.985294117647058,-7.387857142857136,1.0577563886300005,25.0,-0.7206832009999999,-35.0,0.41000000000000014,0.10000000000000142,-11.37777777777778,85.0,9.610000000000001
